ISLAND_CODE,Island,SITE,DEPTH,Latitude,Longitude
1,Attu,1,20,52.79,173.18
1,Attu,4,20,52.79,173.17
1,Attu,6,20,52.79,173.15
1,Attu,8,20,52.79,173.14
1,Attu,19,20,52.82,173.23
1,Attu,27,20,52.85,173.2
1,Attu,27,40,52.85,173.21
1,Attu,29,20,52.8,173.23
1,Attu,30,20,52.86,173.23
1,Attu,32,20,52.79,173.22
1,Attu,38,20,52.8,173.2
1,Attu,47,20,52.79,173.16
1,Attu,54,20,52.78,173.13
1,Attu,90,20,52.81,173.18
1,Attu,91,20,52.8,173.18
1,Attu,93,20,52.81,173.2
2,Alaid,1,20,52.77,173.87
2,Alaid,2,20,52.77,173.88
2,Alaid,4,20,52.77,173.89
2,Alaid,5,20,52.77,173.9
2,Alaid,6,20,52.77,173.91
2,Alaid,7,20,52.76,173.91
2,Alaid,8,20,52.76,173.92
2,Alaid,10,20,52.76,173.93
2,Alaid,11,20,52.75,173.94
3,Nizki,12,20,52.75,173.95
3,Nizki,14,20,52.75,173.96
3,Nizki,16,20,52.75,173.99
3,Nizki,17,20,52.74,173.99
3,Nizki,18,20,52.74,174
3,Nizki,22,20,52.73,174.02
4,Shemya,23,20,52.73,174.06
4,Shemya,24,20,52.73,174.05
4,Shemya,25,20,52.73,174.07
4,Shemya,26,20,52.73,174.08
4,Shemya,27,20,52.74,174.08
4,Shemya,28,20,52.74,174.09
4,Shemya,29,20,52.74,174.1
4,Shemya,31,20,52.74,174.11
4,Shemya,34,20,52.73,174.12
4,Shemya,36,20,52.73,174.13
4,Shemya,39,20,52.73,174.14
4,Shemya,39,30,52.73,174.15
4,Shemya,41,20,52.72,174.15
4,Shemya,42,20,52.71,174.16
5,Amchitka,1,20,51.41,179.39
5,Amchitka,2,20,51.41,179.38
5,Amchitka,4,20,51.41,179.37
5,Amchitka,5,20,51.4,179.36
5,Amchitka,6,20,51.41,179.34
5,Amchitka,7,20,51.41,179.33
5,Amchitka,8,20,51.4,179.32
5,Amchitka,9,20,51.4,179.31
5,Amchitka,10,20,51.39,179.3
5,Amchitka,12,20,51.39,179.28
5,Amchitka,14,20,51.4,179.28
5,Amchitka,16,20,51.41,179.3
5,Amchitka,17,20,51.42,179.29
5,Amchitka,18,20,51.41,179.27
5,Amchitka,20,20,51.41,179.25
5,Amchitka,21,20,51.41,179.24
5,Amchitka,22,20,51.41,179.23
5,Amchitka,23,20,51.43,179.23
5,Amchitka,24,20,51.43,179.22
5,Amchitka,25,20,51.44,179.22
5,Amchitka,26,20,51.44,179.21
5,Amchitka,27,20,51.45,179.2
5,Amchitka,28,20,51.45,179.19
5,Amchitka,30,20,51.46,179.2
5,Amchitka,31,20,51.46,179.19
5,Amchitka,33,20,51.47,179.19
6,Adak,1,20,51.92,-176.55
6,Adak,3,20,51.91,-176.56
6,Adak,5,20,51.91,-176.57
6,Adak,6,20,51.91,-176.59
6,Adak,8,20,51.91,-176.6
6,Adak,9,20,51.9,-176.62
6,Adak,11,20,51.89,-176.62
6,Adak,13,20,51.88,-176.63
6,Adak,14,20,51.88,-176.62
6,Adak,16,20,51.86,-176.63
6,Adak,17,20,51.86,-176.62
6,Adak,18,20,51.85,-176.62
6,Adak,19,20,51.86,-176.61
6,Adak,20,20,51.85,-176.6
6,Adak,21,20,51.86,-176.59
6,Adak,25,20,51.85,-176.58
6,Adak,26,20,51.85,-176.59
