X1,Latitude,Longitude,Network Name
1,13.3,144.5,Cetacean Research Program
2,13.6,144.4,Cetacean Research Program
3,13.1,144.5,Cetacean Research Program
4,13.4,144.6,Cetacean Research Program
5,13.5,144.6,Cetacean Research Program
6,13.3,144.7,Cetacean Research Program
7,13.4,144.7,Cetacean Research Program
8,13.5,144.7,Cetacean Research Program
9,13.6,144.7,Cetacean Research Program
10,13.3,144.8,Cetacean Research Program
11,13.5,144.8,Cetacean Research Program
12,13.6,144.8,Cetacean Research Program
13,13.7,144.8,Cetacean Research Program
14,13.7,144.7,Cetacean Research Program
15,13.7,144.9,Cetacean Research Program
16,13.8,144.9,Cetacean Research Program
17,13.6,145,Cetacean Research Program
19,13.8,145,Cetacean Research Program
21,14.1,145.1,Cetacean Research Program
22,14.2,145.1,Cetacean Research Program
23,14,145.1,Cetacean Research Program
24,14.2,145.2,Cetacean Research Program
25,14.3,145.2,Cetacean Research Program
26,13.9,145.2,Cetacean Research Program
27,14.1,145.2,Cetacean Research Program
28,14.2,145.3,Cetacean Research Program
29,14.3,145.3,Cetacean Research Program
30,15,145.2,Cetacean Research Program
32,14.8,145.5,Cetacean Research Program
33,15.1,145.5,Cetacean Research Program
34,15.2,145.5,Cetacean Research Program
35,15.6,145.5,Cetacean Research Program
37,14.9,145.6,Cetacean Research Program
38,15,145.5,Cetacean Research Program
39,15.1,145.6,Cetacean Research Program
42,15.4,145.6,Cetacean Research Program
43,15,145.7,Cetacean Research Program
44,15.1,145.7,Cetacean Research Program
45,15.2,145.7,Cetacean Research Program
46,15.3,145.7,Cetacean Research Program
47,15.4,145.7,Cetacean Research Program
48,15.1,145.8,Cetacean Research Program
49,15.2,145.8,Cetacean Research Program
50,15.3,145.8,Cetacean Research Program
54,15.4,145.8,Cetacean Research Program
55,15.5,145.9,Cetacean Research Program
56,26.41,-179.07,Cetacean Research Program
57,26.15,-178.68,Cetacean Research Program
58,26.54,-179.61,Cetacean Research Program
59,25.37,-178.91,Cetacean Research Program
60,25.24,-178.52,Cetacean Research Program
61,25.11,-178.13,Cetacean Research Program
62,30,-178.36,Cetacean Research Program
63,29.93,-177.82,Cetacean Research Program
64,29.74,-177.59,Cetacean Research Program
65,29.54,-177.27,Cetacean Research Program
66,29.48,-176.96,Cetacean Research Program
67,30.46,-177.12,Cetacean Research Program
68,30.26,-176.88,Cetacean Research Program
69,30.2,-176.73,Cetacean Research Program
70,30.07,-176.57,Cetacean Research Program
71,30,-176.34,Cetacean Research Program
72,29.87,-176.11,Cetacean Research Program
73,29.74,-175.72,Cetacean Research Program
74,30.59,-175.64,Cetacean Research Program
75,30.39,-175.33,Cetacean Research Program
76,30.2,-174.94,Cetacean Research Program
77,30.07,-174.55,Cetacean Research Program
78,28.96,-177.51,Cetacean Research Program
79,28.83,-176.96,Cetacean Research Program
80,28.63,-176.73,Cetacean Research Program
81,28.43,-176.57,Cetacean Research Program
82,27.13,-177.43,Cetacean Research Program
83,26.93,-176.96,Cetacean Research Program
84,26.93,-176.73,Cetacean Research Program
85,26.8,-176.42,Cetacean Research Program
86,27.72,-176.65,Cetacean Research Program
87,27.59,-176.18,Cetacean Research Program
88,27.33,-175.87,Cetacean Research Program
89,27.2,-175.56,Cetacean Research Program
90,28.96,-175.64,Cetacean Research Program
91,28.76,-175.17,Cetacean Research Program
92,28.57,-175.02,Cetacean Research Program
93,28.43,-174.63,Cetacean Research Program
94,29.15,-174.63,Cetacean Research Program
95,29.35,-174.63,Cetacean Research Program
96,28.96,-174,Cetacean Research Program
97,28.89,-173.69,Cetacean Research Program
98,28.76,-173.22,Cetacean Research Program
99,29.41,-172.99,Cetacean Research Program
100,29.28,-172.6,Cetacean Research Program
101,29.15,-172.45,Cetacean Research Program
102,29.02,-172.06,Cetacean Research Program
103,28.96,-171.82,Cetacean Research Program
104,28.83,-171.51,Cetacean Research Program
105,28.17,-172.21,Cetacean Research Program
106,28.17,-171.67,Cetacean Research Program
107,28.37,-172.37,Cetacean Research Program
108,27.98,-171.43,Cetacean Research Program
109,27.85,-171.2,Cetacean Research Program
110,27.78,-170.97,Cetacean Research Program
111,27.33,-171.67,Cetacean Research Program
112,27.46,-171.9,Cetacean Research Program
113,27.52,-172.13,Cetacean Research Program
114,27.59,-172.45,Cetacean Research Program
115,27.59,-172.76,Cetacean Research Program
116,27.65,-172.76,Cetacean Research Program
117,27.72,-172.83,Cetacean Research Program
118,27.85,-172.91,Cetacean Research Program
119,27.78,-175.02,Cetacean Research Program
120,27.65,-174.63,Cetacean Research Program
121,27.46,-174.08,Cetacean Research Program
122,27.72,-174.47,Cetacean Research Program
123,27.59,-174.24,Cetacean Research Program
124,27.39,-173.85,Cetacean Research Program
