Latitude,Longitude,years
-77.9,165.3,5
-77.9,166.2,5
-77.9,166.3,5
-77.9,166.4,5
-77.9,166.5,5
-77.9,166.6,5
-77.9,166.7,6
-77.9,166.8,6
-77.9,166.9,6
-77.9,167,5
-77.9,167.1,6
-77.8,165.2,5
-77.8,165.3,5
-77.8,165.4,5
-77.8,165.5,6
-77.8,165.6,6
-77.8,165.7,5
-77.8,165.8,6
-77.8,165.9,5
-77.8,166,5
-77.8,166.1,6
-77.8,166.2,6
-77.8,166.3,7
-77.8,166.4,7
-77.8,166.5,7
-77.8,166.6,7
-77.8,166.7,7
-77.8,166.8,7
-77.8,166.9,6
-77.8,167,5
-77.8,167.1,5
-77.7,165.2,5
-77.7,165.4,5
-77.7,165.6,6
-77.7,165.7,6
-77.7,165.8,7
-77.7,165.9,7
-77.7,166,5
-77.7,166.1,5
-77.7,166.2,7
-77.7,166.3,7
-77.7,166.4,7
-77.7,166.5,6
-77.7,166.6,7
-77.7,166.7,6
-77.7,166.8,5
-77.7,166.9,6
-77.7,167,6
-77.7,167.1,5
-77.6,165,5
-77.6,165.2,5
-77.6,165.3,5
-77.6,165.5,5
-77.6,166,6
-77.6,166.1,6
-77.6,166.2,7
-77.6,166.3,6
-77.6,166.4,5
-77.5,164.9,6
-77.5,165.1,6
-77.5,165.2,6
-77.5,165.3,5
-77.5,165.4,5
-77.5,165.5,5
-77.5,165.6,5
-77.5,165.7,6
-77.5,165.8,5
-77.5,165.9,5
-77.5,166,6
-77.5,166.1,5
-77.5,166.2,5
-77.5,166.4,5
-77.4,164.9,5
-77.4,165.2,5
-77.4,165.4,5
-77.4,165.6,5
-77.4,165.8,5
-77.4,166.1,5
-77.4,166.2,5
-77.4,168,5
-77.3,164.6,5
-77.3,164.7,6
-77.3,164.9,5
-77.3,165,5
-77.3,165.4,5
-77.3,165.5,6
-77.3,165.8,5
-77.3,166.4,5
-77.3,167.1,5
-77.3,167.2,5
-77.3,167.9,5
-77.3,168,5
-77.3,168.1,5
-77.3,168.2,5
-77.3,169.1,5
-77.2,164.8,6
-77.2,164.9,5
-77.2,165,5
-77.2,165.1,5
-77.2,165.2,5
-77.2,165.3,5
-77.2,165.4,5
-77.2,165.7,5
-77.2,165.8,5
-77.2,165.9,5
-77.2,166.1,5
-77.2,166.2,5
-77.2,166.4,5
-77.2,166.5,5
-77.2,166.6,5
-77.2,167.6,5
-77.2,167.7,5
-77.2,167.8,5
-77.2,169.4,5
-77.1,164.8,5
-77.1,164.9,5
-77.1,165.1,5
-77.1,165.3,5
-77.1,165.5,5
-77.1,165.6,5
-77.1,166.2,5
-77.1,166.5,5
-77.1,166.6,5
-77.1,166.9,5
-77.1,167.1,5
-77.1,167.5,5
-77.1,167.9,5
-77,164.6,5
-77,164.7,5
-77,164.9,5
-77,165.5,5
-77,165.7,5
-77,165.8,5
-77,165.9,6
-77,166.1,5
-77,166.7,5
-77,167,5
-77,167.1,5
-77,168.8,5
-76.9,164.6,5
-76.9,164.8,5
-76.9,164.9,5
-76.9,165.2,5
-76.9,165.3,5
-76.9,165.4,5
-76.9,165.6,6
-76.9,165.7,6
-76.9,165.8,6
-76.9,165.9,6
-76.9,166,6
-76.9,166.1,5
-76.9,166.2,5
-76.9,166.3,6
-76.9,166.7,5
-76.9,166.8,5
-76.9,166.9,5
-76.9,167,5
-76.9,167.6,5
-76.9,169.1,5
-76.8,164.3,5
-76.8,164.4,5
-76.8,164.7,5
-76.8,164.8,5
-76.8,165.1,5
-76.8,165.3,5
-76.8,165.4,6
-76.8,165.5,5
-76.8,165.6,6
-76.8,165.7,6
-76.8,165.8,5
-76.8,166,6
-76.8,166.2,6
-76.8,166.3,5
-76.8,166.5,5
-76.8,166.6,5
-76.8,166.9,5
-76.8,168.7,5
-76.8,169.5,5
-76.7,165.6,5
-76.7,165.7,5
-76.7,166,5
-76.7,166.2,5
-76.7,166.8,5
-76.7,167.3,5
-76.7,169.6,5
-76.6,164.1,5
-76.6,164.8,5
-76.6,166.3,5
-76.5,164.9,5
-76.4,164.5,5
-76.3,167.9,5
-76.2,164.4,5
-76,168.3,5
-75.9,167.5,5
-75.9,168.1,5
-75.9,168.4,5
-75.9,168.5,5
-71.2,-79.9,5
-71,-79.8,5
-70.8,-80.3,5
-70.8,-79.9,6
-69.9,-77.5,5
-69.8,-77.4,6
-69.8,-77.2,5
-69.8,-77.1,5
-69.7,-77,5
-69.7,-76.9,5
-69.4,-76.5,5
-69.3,-78.2,5
-69.1,74.7,6
-69,-77.2,5
-69,-77,5
-69,-76.3,5
-69,-75.5,6
-69,-75.1,5
-69,77.2,5
-68.9,-77.3,5
-68.9,-77,5
-68.9,-76.8,6
-68.9,77,5
-68.8,-75.3,5
-68.8,-74.9,5
-68.8,76.1,5
-68.7,-76.6,5
-68.7,-73.5,6
-68.7,-73.3,6
-68.7,-73.2,5
-68.7,76.1,5
-68.7,77.2,5
-68.7,77.4,5
-68.7,77.6,5
-68.7,77.7,5
-68.6,-75.1,5
-68.6,-74.6,5
-68.6,-74,5
-68.6,-73.3,5
-68.6,-73,5
-68.6,70.4,5
-68.6,71.2,5
-68.6,77.2,5
-68.6,77.5,6
-68.6,77.6,7
-68.6,77.7,7
-68.6,78,5
-68.5,-76.2,5
-68.5,-75.5,5
-68.5,-74.5,5
-68.5,-74.3,5
-68.5,-73.7,5
-68.5,-73.4,5
-68.5,-73.3,5
-68.5,-73.2,5
-68.5,-73.1,5
-68.5,70.8,5
-68.5,71.7,5
-68.5,71.8,6
-68.5,72.8,5
-68.5,75.2,5
-68.5,75.3,5
-68.5,76,5
-68.5,76.8,5
-68.5,77,5
-68.5,77.2,5
-68.5,77.4,5
-68.5,77.5,7
-68.5,77.6,5
-68.5,77.7,5
-68.5,77.8,6
-68.5,77.9,6
-68.5,78,5
-68.4,-72.9,5
-68.4,72.7,5
-68.4,73,5
-68.4,73.8,5
-68.4,76.3,5
-68.4,76.5,5
-68.4,77.6,6
-68.4,77.8,7
-68.4,77.9,5
-68.4,78,5
-68.3,-72.5,6
-68.3,-72.2,5
-68.3,31.8,5
-68.3,70.4,5
-68.3,70.7,5
-68.3,71.9,5
-68.3,72.5,5
-68.3,72.7,5
-68.3,72.9,5
-68.3,73.1,5
-68.3,73.8,5
-68.3,75.4,5
-68.3,75.5,5
-68.3,76.7,5
-68.3,77.2,5
-68.3,77.6,6
-68.3,77.8,6
-68.3,77.9,6
-68.3,78.1,5
-68.3,78.5,5
-68.2,-74.7,5
-68.2,-74.1,5
-68.2,-73.2,5
-68.2,-72.5,7
-68.2,-72,6
-68.2,-70.8,5
-68.2,31.9,6
-68.2,32.1,5
-68.2,32.2,5
-68.2,32.6,5
-68.2,33,5
-68.2,70.5,5
-68.2,71.1,5
-68.2,71.5,5
-68.2,72,5
-68.2,72.8,5
-68.2,73.5,5
-68.2,74.1,5
-68.2,75.2,6
-68.2,75.5,6
-68.2,75.6,5
-68.2,75.7,6
-68.2,75.8,5
-68.2,76,5
-68.2,76.1,5
-68.2,76.9,5
-68.2,77,5
-68.2,77.2,5
-68.2,77.6,5
-68.2,78.2,6
-68.2,78.3,6
-68.2,78.4,5
-68.2,78.5,6
-68.2,78.8,6
-68.1,-72.5,5
-68.1,-72.4,5
-68.1,-72.3,5
-68.1,-72.2,5
-68.1,-72,5
-68.1,-71.9,5
-68.1,32.1,5
-68.1,32.7,5
-68.1,33.4,5
-68.1,72.1,5
-68.1,73.2,5
-68.1,74.7,5
-68.1,75.2,6
-68.1,75.3,6
-68.1,75.4,5
-68.1,75.5,7
-68.1,75.6,5
-68.1,75.8,6
-68.1,75.9,5
-68.1,76,7
-68.1,76.1,6
-68.1,76.2,6
-68.1,76.4,5
-68.1,76.7,6
-68.1,76.8,5
-68.1,77.1,5
-68.1,78.9,5
-68,-74,6
-68,-72.5,5
-68,-72.3,6
-68,-72.2,5
-68,-72,5
-68,-71.7,6
-68,32.6,6
-68,33.3,5
-68,74.2,5
-68,74.6,5
-68,74.7,5
-68,74.9,5
-68,75,5
-68,75.1,5
-68,75.2,5
-68,75.3,5
-68,75.4,6
-68,75.5,5
-68,75.6,6
-68,75.7,5
-68,75.8,5
-68,75.9,6
-68,76,5
-68,76.1,7
-68,76.5,5
-68,76.6,5
-68,76.7,5
-68,77,5
-68,77.1,5
-68,77.5,6
