Network Name,Latitude,Longitude,EOVs sampled,Date start sampled,Date end sampled,sampling site name,Original Order
OTNGlobal,27.77,-175.9,NA,6/1/16,9/16/17,Meso Mid Ledge,2486
OTNGlobal,27.79,-175.86,NA,6/1/16,9/16/17,Main Channel - West Side,404
OTNGlobal,27.78,-175.86,NA,9/16/17,NA,Meso Main Channel,3647
OTNGlobal,27.79,-175.84,NA,9/14/15,6/1/16,SE Channel,2865
OTNGlobal,27.9,-175.72,NA,9/21/17,NA,NE Side,3792
OTNGlobal,23.83,-166.23,NA,9/9/17,NA,Round & Mullet,3802
OTNGlobal,23.63,-166.21,NA,9/11/14,NA,FFS-FFS SW MESO,3739
OTNGlobal,23.63,-166.19,NA,9/11/14,NA,FFS-RAPTURE MESO,3640
OTNGlobal,23.64,-166.19,NA,9/11/14,9/9/15,FFS-RAPTURE REEF,3873
OTNGlobal,23.62,-166.14,NA,9/11/14,NA,FFS-FFS SE MESO,3614
OTNGlobal,21.62,-158.15,NA,5/21/15,10/5/16,OAHU-NORTH SHORE SHARK ADVENTURES BUOY,101
OTNGlobal,21.62,-158.09,NA,10/5/16,8/17/17,Laniakea,3642
OTNGlobal,21.64,-158.07,NA,8/17/17,9/10/18,Waimea,531
OTNGlobal,21.68,-158.04,NA,8/20/14,NA,OAHU-SUNSET BEACH,3659
OTNGlobal,21.27,-157.9,NA,6/18/13,12/12/13,OAHU-WAIKIKI WEST DEEP,1077
OTNGlobal,21.28,-157.9,NA,4/26/12,NA,WAIKIKI WEST MIDDLE,3968
OTNGlobal,21.28,-157.89,NA,4/26/12,NA,WAIKIKI WEST SHALLOW,3886
OTNGlobal,21.27,-157.86,NA,11/18/16,8/8/17,WAIKIKI EAST DEEP,2520
OTNGlobal,21.28,-157.85,NA,6/18/13,12/12/13,OAHU-WAIKIKI EAST SHALLOW,3127
OTNGlobal,21.48,-157.83,NA,8/27/12,5/20/14,OAHU-REEF 44,2781
OTNGlobal,21.5,-157.83,NA,7/5/13,8/29/16,OAHU-GR5,1527
OTNGlobal,21.46,-157.82,NA,8/27/12,9/6/16,OAHU-KANEOHE MIDBAY,1490
OTNGlobal,21.53,-157.81,NA,9/20/12,NA,OAHU-ULUA BARGE,3933
OTNGlobal,21.5,-157.79,NA,9/12/16,9/26/17,Outer North K Bay,3394
OTNGlobal,21.43,-157.79,NA,8/27/12,8/12/14,OAHU-LILIPUNA,1678
OTNGlobal,21.43,-157.78,NA,8/12/14,8/29/16,OAHU-COCONUT - HIMB SE,263
OTNGlobal,21.49,-157.78,NA,12/7/12,11/19/13,OAHU-KIPAPA SHALLOW,1051
OTNGlobal,21.47,-157.78,NA,7/5/13,5/20/14,Turtle Cave,3798
