Latitude_org,"N,S",Longitude_org,"E,W",Latitude,Longitude
18,S,78,W,-18,-78
18,S,80,W,-18,-80
18,S,81.99,W,-18,-81.99
18,S,84.01,W,-18,-84.01
18,S,86,W,-18,-86
16.02,S,80.01,W,-16.02,-80.01
16,S,82,W,-16,-82
16,S,84.01,W,-16,-84.01
15.98,S,79.02,W,-15.98,-79.02
15.97,S,76.98,W,-15.97,-76.98
15.96,S,78.05,W,-15.96,-78.05
15.96,S,81.04,W,-15.96,-81.04
15.93,S(-),76.05,W (-),-15.93,-76.05
15,S,78,W,-15,-78
14.99,S,78.01,W,-14.99,-78.01
14.09,S,78.06,W,-14.09,-78.06
14.08,S,78.06,W,-14.08,-78.06
14.07,S,78.08,W,-14.07,-78.08
14.07,S,79.3,W,-14.07,-79.3
14,S,80,W,-14,-80
14,S,82,W,-14,-82
14,S,82.99,W,-14,-82.99
14,S,83,W,-14,-83
14,S,84.99,W,-14,-84.99
13.98,S,81.16,W,-13.98,-81.16
12.03,S,78.5,W,-12.03,-78.5
12.03,S,82.49,W,-12.03,-82.49
12,S,81.5,W,-12,-81.5
11.99,S,79.41,W,-11.99,-79.41
11.99,S,80.5,W,-11.99,-80.5
10,S,80,W,-10,-80
10,S,82,W,-10,-82
9.99,S,80.97,W,-9.99,-80.97
9.98,S,79.1,W,-9.98,-79.1
9.98,S,83.02,W,-9.98,-83.02
8,S,80,W,-8,-80
7.98,S,84.02,W,-7.98,-84.02
7.97,S,81,W,-7.97,-81
7.97,S,82.01,W,-7.97,-82.01
7.94,S,83.06,W,-7.94,-83.06
7.62,S,88.41,W,-7.62,-88.41
6.03,S,85.12,W,-6.03,-85.12
6.01,S,83.16,W,-6.01,-83.16
6,S,84.01,W,-6,-84.01
6,S,86,W,-6,-86
5.99,S,82.02,W,-5.99,-82.02
5.78,S,93.18,W,-5.78,-93.18
4.15,S,97.75,W,-4.15,-97.75
4.08,S,84.57,W,-4.08,-84.57
4.01,S,84.99,W,-4.01,-84.99
4,S,82,W,-4,-82
4,S,83,W,-4,-83
4,S,86.01,W,-4,-86.01
2.77,S,102.06,W,-2.77,-102.06
1.3,S,106.87,W,-1.3,-106.87
0.32,S,111.04,W,-0.32,-111.04
14.43581667,N,127.9133167,E,14.44,127.91
20.00428333,N,128.0025667,E,20,128
20.87305,N,128.0316,E,20.87,128.03
20.9111,N,131.9273,E,20.91,131.93
20.99896667,N,126.9977,E,21,127
21.00098333,N,129.9984167,E,21,130
21.08633333,N,127.99365,E,21.09,127.99
21.29233333,N,130.0295167,E,21.29,130.03
21.89455,N,127.9444667,E,21.89,127.94
21.94795,N,129.9780167,E,21.95,129.98
21.98035,N,126.9081833,E,21.98,126.91
21.98866667,N,125.9974167,E,21.99,126
21.99836667,N,131.9976,E,22,132
22,N,175.5,E,22,175.5
22.0019,N,128.00165,E,22,128
22.00356667,N,129.9989,E,22,130
22.04735,N,123.9984,E,22.05,124
22.55133333,N,128.0429833,E,22.55,128.04
22.83928333,N,123.9851333,E,22.84,123.99
22.8911,N,131.9718,E,22.89,131.97
22.9962,N,128.0024333,E,23,128
22.99998333,N,130.0005333,E,23,130
23.01,N,175.49,E,23.01,175.49
23.15331667,N,126.0337167,E,23.15,126.03
23.94543333,N,127.92395,E,23.95,127.92
23.9882,N,124.0689833,E,23.99,124.07
23.99598333,N,128.00015,E,24,128
23.99986667,N,131.9978,E,24,132
24,N,175.5,E,24,175.5
24.00178333,N,126.0023667,E,24,126
24.00318333,N,130.0014167,E,24,130
24.06131667,N,129.93955,E,24.06,129.94
24.99858333,N,129.9965,E,25,130
24.99898333,N,127.9993333,E,25,128
25.01,N,155,E,25.01,155
25.01,N,175.5,E,25.01,175.5
25.4,NA,161.383,E,25.4,161.38
26,N,155,E,26,155
26,N,175.5,E,26,175.5
26.217,NA,160.033,E,26.22,160.03
26.367,NA,161.533,E,26.37,161.53
26.58,N,160,E,26.58,160
26.7,NA,159.067,E,26.7,159.07
26.99,N,159.99,E,26.99,159.99
27,N,160,E,27,160
27,N,165.02,E,27,165.02
27,N,175.49,E,27,175.49
27.01,N,155,E,27.01,155
27.483,NA,161.583,E,27.48,161.58
28,N,155,E,28,155
28,N,160,E,28,160
28,N,175.5,E,28,175.5
28.01,N,166,E,28.01,166
28.9867,N,123.53,E,28.99,123.53
28.99,N,159.99,E,28.99,159.99
28.994,N,126.004,E,28.99,126
28.9983,N,124.001,E,29,124
28.9988,N,124.999,E,29,125
28.9993,N,125.503,E,29,125.5
29,N,141.497,E,29,141.5
29,N,154.99,E,29,154.99
29,N,160,E,29,160
29,N,165.99,E,29,165.99
29,N,170,E,29,170
29,N,175.5,E,29,175.5
29.0013,N,124.501,E,29,124.5
29.4962,N,124.4955,E,29.5,124.5
29.4985,N,125.003,E,29.5,125
29.4997,N,123.997,E,29.5,124
29.4997,N,125.9972,E,29.5,126
29.503,N,125.4983,E,29.5,125.5
29.5097,N,123.758,E,29.51,123.76
29.9,NA,158.017,E,29.9,158.02
29.93,N,159.9,E,29.93,159.9
29.94,N,159.9,E,29.94,159.9
29.99,N,170.01,E,29.99,170.01
29.9987,N,124.0025,E,30,124
29.9988,N,124.5023,E,30,124.5
30,N,124.9972,E,30,125
30,N,130.167,E,30,130.17
30,N,138,E,30,138
30,N,154.33,E,30,154.33
30,N,160,E,30,160
30,N,166,E,30,166
30,N,170,E,30,170
30,N,175.5,E,30,175.5
30.003,N,126.0027,E,30,126
30.0072,N,125.4985,E,30.01,125.5
30.03,N,141.08,E,30.03,141.08
30.037,N,141.455,E,30.04,141.46
30.2,NA,161.733,E,30.2,161.73
30.2298,N,132.45,E,30.23,132.45
30.233,NA,159.7,E,30.23,159.7
30.3798,N,131.35,E,30.38,131.35
30.3798,N,132.183,E,30.38,132.18
30.38,N,132.45,E,30.38,132.45
30.49,NA,170.182,E,30.49,170.18
30.4983,N,124.2482,E,30.5,124.25
30.499,N,126.0007,E,30.5,126
30.4995,N,124.6255,E,30.5,124.63
30.5013,N,125.0028,E,30.5,125
30.5015,N,125.4983,E,30.5,125.5
30.517,NA,169.983,E,30.52,169.98
30.5202,N,130.467,E,30.52,130.47
30.5202,N,131.917,E,30.52,131.92
30.5502,N,130.9,E,30.55,130.9
30.63,N,131.35,E,30.63,131.35
30.63,N,132.18,E,30.63,132.18
30.77,N,130.18,E,30.77,130.18
30.85,NA,158.333,E,30.85,158.33
30.87,N,130.47,E,30.87,130.47
30.87,N,131.92,E,30.87,131.92
30.92,N,130.9,E,30.92,130.9
30.945,N,141.403,E,30.95,141.4
30.99,N,175.49,E,30.99,175.49
31,N,138,E,31,138
31,N,155,E,31,155
31,N,160,E,31,160
31,N,165,E,31,165
31,N,169.99,E,31,169.99
31,N,170,E,31,170
31.0015,N,126.0033,E,31,126
31.01,N,165.99,E,31.01,165.99
31.017,N,163.048,E,31.02,163.05
31.06,N,131.65,E,31.06,131.65
31.1,N,131.65,E,31.1,131.65
31.15,N,128,E,31.15,128
31.15,N,129,E,31.15,129
31.15,N,129.667,E,31.15,129.67
31.18,N,131.233,E,31.18,131.23
31.25,N,128,E,31.25,128
31.25,N,129,E,31.25,129
31.25,N,129.67,E,31.25,129.67
31.2508,N,126.2458,E,31.25,126.25
31.3,N,131.23,E,31.3,131.23
31.33,N,130.7,E,31.33,130.7
31.3402,N,131.65,E,31.34,131.65
31.3402,N,131.85,E,31.34,131.85
31.36,N,133.75,E,31.36,133.75
31.3702,N,130,E,31.37,130
31.4983,N,126.4985,E,31.5,126.5
31.51,N,145.51,E,31.51,145.51
31.57,N,131.65,E,31.57,131.65
31.57,N,131.85,E,31.57,131.85
31.5802,N,133.517,E,31.58,133.52
31.6,N,133.75,E,31.6,133.75
31.62,N,130,E,31.62,130
31.7472,N,126.7503,E,31.75,126.75
31.7478,N,129.6707,E,31.75,129.67
31.749,N,128.7527,E,31.75,128.75
31.7493,N,128.2507,E,31.75,128.25
31.7493,N,129.2492,E,31.75,129.25
31.7542,N,127.2563,E,31.75,127.26
