Longitude_orig,"E,W",Latitude_orig,"N,S",Longitude,Latitude
123.53,E,28.9867,N,123.53,28.99
123.758,E,29.5097,N,123.76,29.51
123.9851333,E,22.83928333,N,123.99,22.84
123.997,E,29.4997,N,124,29.5
123.9984,E,22.04735,N,124,22.05
124.001,E,28.9983,N,124,29
124.0025,E,29.9987,N,124,30
124.0689833,E,23.9882,N,124.07,23.99
124.2482,E,30.4983,N,124.25,30.5
124.4955,E,29.4962,N,124.5,29.5
124.501,E,29.0013,N,124.5,29
124.5023,E,29.9988,N,124.5,30
124.6255,E,30.4995,N,124.63,30.5
124.9972,E,30,N,125,30
124.999,E,28.9988,N,125,29
125.0028,E,30.5013,N,125,30.5
125.003,E,29.4985,N,125,29.5
125.4983,E,30.5015,N,125.5,30.5
125.4983,E,29.503,N,125.5,29.5
125.4985,E,30.0072,N,125.5,30.01
125.503,E,28.9993,N,125.5,29
125.9972,E,29.4997,N,126,29.5
125.9974167,E,21.98866667,N,126,21.99
126.0007,E,30.499,N,126,30.5
126.0023667,E,24.00178333,N,126,24
126.0027,E,30.003,N,126,30
126.0033,E,31.0015,N,126,31
126.004,E,28.994,N,126,28.99
126.0337167,E,23.15331667,N,126.03,23.15
126.2458,E,31.2508,N,126.25,31.25
126.4985,E,31.4983,N,126.5,31.5
126.7503,E,31.7472,N,126.75,31.75
126.9081833,E,21.98035,N,126.91,21.98
126.9977,E,20.99896667,N,127,21
127.048,E,32.0155,N,127.05,32.02
127.247,E,32.2523,N,127.25,32.25
127.2563,E,31.7542,N,127.26,31.75
127.502,E,32.4997,N,127.5,32.5
127.7447,E,31.7547,N,127.74,31.75
127.752,E,32.7488,N,127.75,32.75
127.9133167,E,14.43581667,N,127.91,14.44
127.92395,E,23.94543333,N,127.92,23.95
127.9444667,E,21.89455,N,127.94,21.89
127.99365,E,21.08633333,N,127.99,21.09
127.9993333,E,24.99898333,N,128,25
128,E,31.15,N,128,31.15
128,E,31.25,N,128,31.25
128.00015,E,23.99598333,N,128,24
128.00165,E,22.0019,N,128,22
128.0024333,E,22.9962,N,128,23
128.0025667,E,20.00428333,N,128,20
128.013,E,33.0063,N,128.01,33.01
128.0316,E,20.87305,N,128.03,20.87
128.0429833,E,22.55133333,N,128.04,22.55
128.22,E,33.52,N,128.22,33.52
128.248,E,33.2515,N,128.25,33.25
128.2507,E,31.7493,N,128.25,31.75
128.433,E,32.5202,N,128.43,32.52
128.502,E,33.5012,N,128.5,33.5
128.7527,E,31.749,N,128.75,31.75
128.767,E,32.3198,N,128.77,32.32
128.779,E,33.7183,N,128.78,33.72
128.85,E,34.06,N,128.85,34.06
128.902,E,34.263,N,128.9,34.26
128.903,E,34.265,N,128.9,34.27
128.93,E,32.57,N,128.93,32.57
128.93,E,33.25,N,128.93,33.25
128.945,E,34.269,N,128.94,34.27
128.95,E,33.98,N,128.95,33.98
128.998,E,34.338,N,129,34.34
128.999,E,33.9993,N,129,34
129,E,31.15,N,129,31.15
129,E,31.25,N,129,31.25
129.132,E,34.719,N,129.13,34.72
129.135,E,34.6397,N,129.13,34.64
129.167,E,32.1002,N,129.17,32.1
129.17,E,33.72,N,129.17,33.72
129.175,E,34.718,N,129.18,34.72
129.18,E,34.08,N,129.18,34.08
129.184,E,33.819,N,129.18,33.82
129.185,E,33.82,N,129.19,33.82
129.2492,E,31.7493,N,129.25,31.75
129.308,E,33.7745,N,129.31,33.77
129.32,E,32.57,N,129.32,32.57
129.33,E,33.1,N,129.33,33.1
129.35,E,33.51,N,129.35,33.51
129.35,E,33.85,N,129.35,33.85
129.395,E,34.8892,N,129.4,34.89
129.517,E,32.3402,N,129.52,32.34
129.567,E,34.1998,N,129.57,34.2
129.591,E,33.5693,N,129.59,33.57
129.661,E,34.6565,N,129.66,34.66
129.667,E,31.15,N,129.67,31.15
129.67,E,31.25,N,129.67,31.25
129.6707,E,31.7478,N,129.67,31.75
129.7,E,32.1002,N,129.7,32.1
129.7,E,33.63,N,129.7,33.63
129.72,E,32.58,N,129.72,32.58
129.735,E,35.009,N,129.74,35.01
129.745,E,33.996,N,129.75,34
129.747,E,34.006,N,129.75,34.01
129.748,E,34.501,N,129.75,34.5
129.75,E,35.001,N,129.75,35
129.83,E,32,N,129.83,32
129.93955,E,24.06131667,N,129.94,24.06
129.95,E,33.68,N,129.95,33.68
129.9780167,E,21.94795,N,129.98,21.95
129.981,E,34.4257,N,129.98,34.43
129.9965,E,24.99858333,N,130,25
129.9984167,E,21.00098333,N,130,21
129.9989,E,22.00356667,N,130,22
130,E,34.2298,N,130,34.23
130,E,31.3702,N,130,31.37
130,E,31.62,N,130,31.62
130.0005333,E,22.99998333,N,130,23
130.0014167,E,24.00318333,N,130,24
130.0295167,E,21.29233333,N,130.03,21.29
130.133,E,35.017,N,130.13,35.02
130.167,E,30,N,130.17,30
130.18,E,30.77,N,130.18,30.77
130.233,E,34,N,130.23,34
130.28,E,34.1977,N,130.28,34.2
130.467,E,30.5202,N,130.47,30.52
130.47,E,30.87,N,130.47,30.87
130.492,E,34.021,N,130.49,34.02
130.497,E,35.418,N,130.5,35.42
130.498,E,34.503,N,130.5,34.5
130.499,E,35.02,N,130.5,35.02
130.504,E,34.999,N,130.5,35
130.506,E,34.006,N,130.51,34.01
130.532,E,35.398,N,130.53,35.4
130.566,E,33.9717,N,130.57,33.97
130.7,E,31.33,N,130.7,31.33
130.9,E,30.5502,N,130.9,30.55
130.9,E,30.92,N,130.9,30.92
131.099,E,35.5978,N,131.1,35.6
131.133,E,35.833,N,131.13,35.83
131.23,E,31.3,N,131.23,31.3
131.233,E,31.18,N,131.23,31.18
131.235,E,34.964,N,131.24,34.96
